"","PubmedID","Title","Abstract","Journal","Volume","Issue"
"11","29436492","Allosterism within delta opioid-kappa opioid receptor heteromers in peripheral sensory neurons: Regulation of kappa opioid agonist efficacy.","There is abundant evidence for formation of G protein coupled receptor heteromers in heterologous expression systems, however, little is known of the function of heteromers in native systems. Heteromers of delta and kappa opioid receptors (DOR-KOR heteromers) have been identified in native systems. We previously reported that activation of DOR-KOR heteromers expressed by rat pain-sensing neurons (nociceptors) produces robust, peripherally-mediated antinociception. Moreover, DOR agonist potency and efficacy is regulated by KOR antagonists via allosteric interactions within the DOR-KOR heteromer in a ligand-dependent manner. Here we assessed the reciprocal regulation of KOR agonist function by DOR antagonists in adult rat nociceptors in culture and in a behavioral assay of nociception. Naltrindole enhanced the potency of the KOR agonist ICI-199441 (10-20 fold), but did not alter responses to U50488. By contrast, the potency of U50488 was enhanced (20 fold) by 7-benzylidenenaltrexone. The efficacy of 6'-guanidinonaltrindole (6'-GNTI) to inhibit nociceptors was blocked by siRNA knock-down of DOR or KOR. Replacing 6'-GNTI occupancy of DOR with either naltrindole or 7-benzylidenenaltrexone abolished 6'-GNTI efficacy. Further, peptides derived from DOR transmembrane segment 1, fused to the cell membrane penetrating HIV transactivator of transcription peptide, also blocked 6'-GNTI-mediated responses ex vivo and in vivo, suggesting that 6'-GNTI efficacy in nociceptors is due to its positive allosteric regulation of KOR via occupancy of DOR in a DOR-KOR heteromer. Together, these results provide evidence for the existence of functional DOR-KOR heteromers in rat peripheral sensory neurons and that reciprocal, ligand-dependent, allosteric interactions occur between the DOR and KOR protomers.","Molecular pharmacology",NA,NA
"12","29436411",NA,"","Journal of immunology (Baltimore, Md. : 1950)",NA,NA
"13","29435986","Role of recoverin in rod photoreceptor light adaptation.","Recoverin is a small molecular-weight, calcium-binding protein in rod outer segments which binds to G-protein receptor kinase 1 (GRK1) and can alter the rate of rhodopsin phosphorylation. A change in phosphorylation should change the lifetime of light-activated rhodopsin and the gain of phototransduction, but deletion of recoverin has little effect on the sensitivity of rods either in the dark or in dim-to-moderate background light. We describe two additional functions perhaps of greater physiological significance. (1) When the ambient intensity increases, sensitivity and integration time decrease in wild-type (WT) rods with similar time constants of 150 - 200 ms. Recoverin is part of the mechanism controlling this process since, in Rv-/- rods lacking recoverin, sensitivity declines more rapidly and integration time is already shorter and not further altered. (2) During steady light exposure, WT rod circulating current slowly increases during a time course of tens of seconds, gradually extending the operating range of the rod. In Rv-/- rods this mechanism is also deleted, steady-state currents are already larger, and rods saturate at brighter intensities. We argue that neither (1) nor (2) can be caused by modulation of rhodopsin phosphorylation but may instead be produced by direct modulation of phophodiesterase-6, the phototransduction effector enzyme. We propose that recoverin in dark-adapted rods keeps the integration time long and the spontaneous PDE6 rate relatively high to improve sensitivity. In background light, the integration time is decreased to facilitate detection of change and motion, and the spontaneous PDE6 rate decreases to augment the rod working range. This article is protected by copyright. All rights reserved.","The Journal of physiology",NA,NA
"14","29434936",NA,"","Oncology letters","15","2"
"15","29434872","Regulator of G-protein signaling 5 enhances portal vein invasion in hepatocellular carcinoma.","Portal vein invasion (PVI) is a major prognostic factor in hepatocellular carcinoma (HCC). The aim of the present study was to identify molecules that regulate PVI. Sections of cancerous tissue, paired noncancerous tissue and the PVI area were collected from 3 frozen HCC sections, using laser microdissection. The present study focused on 3 upregulated molecules, integrin ß3 (ITGB3), secreted phosphoprotein 1 (SPP1) and regulator of G-protein signaling 5 (RGS5), and 2 molecules that were downregulated in PVI tissue compared with cancer tissue, metallothionein 1G (MT1G) and metallothionein 1H (MT1H), as determined by cDNA microarray analysis. Reverse transcription-quantitative polymerase chain reaction analysis of 32 HCC cases revealed that RGS5 mRNA levels were significantly increased and MT1 G and MT1H mRNA levels were significantly decreased in cancerous tissue compared with noncancerous tissue. However, there was no significant difference in ITGB3 and SPP1 expression. There were no significant differences between the expression of these molecules and any clinicopathologic factors, including PVI. Immunohistochemical staining for RGS5 in 60 HCC cases demonstrated that RGS5 protein levels were higher in cancerous tissue compared with paired noncancerous tissue in 63.3% of HCC cases. Furthermore, high expression of RGS5 in cancerous tissue was significantly associated with PVI and tended to be associated with intrahepatic metastasis. Confluent multinodular type was significantly more frequent in cases with high expression of RGS5 in the cancerous tissue. Therefore, RGS5 may be a useful prognostic biomarker as well as a potential target of molecular therapy to treat HCC.","Oncology letters","15","2"
"16","29434720","Targeted sequencing reveals genetic variants associated with sensitivity of 79 human cancer xenografts to anticancer drugs.","","Experimental and therapeutic medicine","15","2"
"17","29434550","Select Skeletal Muscle mRNAs Related to Exercise Adaptation Are Minimally Affected by Different Pre-exercise Meals that Differ in Macronutrient Profile.","","Frontiers in physiology","9",NA
"18","29434346","Yeast surface display platform for rapid discovery of conformationally selective nanobodies.","","Nature structural &amp; molecular biology",NA,NA
"19","29433906","Membrane lipid environment: Potential modulation of chemokine receptor function.","Migration of leukocytes is typically mediated by G protein-coupled receptors (GPCRs) upon activation by specific ligands that range from small peptides, chemokines to a variety of lipidic molecules. The heptahelical receptors are highly dynamic structures and the signaling efficiency largely depends on the discrete contact with the ligand. In addition, several allosteric modulators of receptor activity have been reported, which do not induce migration by themselves. Another important mechanism modulating the activity of GPCRs is their local environment. Not only the membrane lipid composition influences the activity, but also direct binding of lipids, in particular cholesterol, was shown to alter receptor signaling properties. Recent findings indicate that also chemokine receptor activity is modulated by membrane lipids. In this short review we discuss this new paradigm and potential consequences for chemokine-induced migration.","Cytokine",NA,NA
"20","29433403","The essential role of G protein-coupled receptor (GPCR) signaling in regulating T cell immunity.","AIM: The aim of this paper is to clarify the critical role of GPCR signaling in T cell immunity.METHODS: The G protein-coupled receptors (GPCRs) are the most common targets in current pharmaceutical industry, and represent the largest and most versatile family of cell surface communicating molecules. GPCRs can be activated by a diverse array of ligands including neurotransmitters, chemokines as well as sensory stimuli. Therefore, GPCRs are involved in many key cellular and physiological processes, such as sense of light, taste and smell, neurotransmission, metabolism, endocrine and exocrine secretion. In recent years, GPCRs have been found to play an important role in immune system. T cell is an important type of immune cell, which plays a central role in cell-mediated immunity. A variety of GPCRs and their signaling mediators (RGS proteins, GRKs and ß-arrestin) have been found to express in T cells and involved T cell-mediated immunity. We will summarize the role of GPCR signaling and their regulatory molecules in T cell activation, homeostasis and function in this article.RESULTS: GPCR signaling plays an important role in T cell activation, homeostasis and function.CONCLUSION: GPCR signaling is critical in regulating T cell immunity.","Immunopharmacology and immunotoxicology",NA,NA
"21","29432865",NA,"","Fish &amp; shellfish immunology",NA,NA
"22","29432751","An efficient screening method for purifying and crystallizing membrane proteins using modified clear-native PAGE.","","Analytical biochemistry",NA,NA
"23","29432729","Functional characterization and quantitative expression analysis of two GnRH-related peptide receptors in the mosquito, Aedes aegypti.","To cope with stressful events such as flight, organisms have evolved various regulatory mechanisms, often involving control by endocrine-derived factors. In insects, two stress-related factors include the gonadotropin-releasing hormone-related peptides adipokinetic hormone (AKH) and corazonin (CRZ). AKH is a pleiotropic hormone best known as a substrate liberator of proteins, lipids and carbohydrates. CRZ has been shown to have roles in pigmentation, ecdysis or act as a cardiostimulatory factor although a universal function has not yet been elucidated. While both these neuropeptides and their respective receptors (AKHR and CRZR) have been characterized in several organisms, details on their specific roles within the disease vector, Aedes aegypti, remain largely unexplored. Here, we obtained three A. aegypti AKHR transcript variants and further identified the A. aegypti CRZR receptor. Receptor expression using a heterologous functional assay revealed that these receptors exhibit a highly specific response for their native ligands. Developmental quantitative expression analysis of CRZR revealed enrichment during the pupal and adult stages. In adults, quantitative spatial expression analysis revealed CRZR transcript in a variety of organs including head, thoracic ganglia, primary reproductive organs (ovary and testis), as well as male carcass. This suggest CRZ may play a role in ecdysis, and neuronal expression of CRZR indicates a possible role for CRZ within the nervous system. Quantitative developmental expression analysis of AKHR identified significant transcript enrichment in early adult stages. AKHR transcript was observed in the head, thoracic ganglia, accessory reproductive tissues and the carcass of adult females, while it was detected in the abdominal ganglia and enriched significantly in the carcass of adult males, which supports the known function of AKH in energy metabolism. Collectively, given the enrichment of CRZR and AKHR in the primary and secondary sex organs, respectively, of adult mosquitoes, these neuropeptides may play a role in regulating mosquito reproductive biology.","Biochemical and biophysical research communications",NA,NA
"24","29432522","WDL-RF: Predicting Bioactivities of Ligand Molecules Acting with G Protein-coupled Receptors by Combining Weighted Deep Learning and Random Forest.","Precise assessment of ligand bioactivities (including IC50, EC50, Ki, Kd, etc.) is essential for virtual screening and lead compound identification. However, not all ligands have experimentally-determined activities. In particular, many G protein-coupled receptors (GPCRs), which are the largest integral membrane protein family and represent targets of nearly 40% drugs on the market, lack published experimental data about ligand interactions. Computational methods with the ability to accurately predict the bioactivity of ligands can help efficiently address this problem.</AbstractText>: Precise assessment of ligand bioactivities (including IC50, EC50, Ki, Kd, etc.) is essential for virtual screening and lead compound identification. However, not all ligands have experimentally-determined activities. In particular, many G protein-coupled receptors (GPCRs), which are the largest integral membrane protein family and represent targets of nearly 40% drugs on the market, lack published experimental data about ligand interactions. Computational methods with the ability to accurately predict the bioactivity of ligands can help efficiently address this problem.We proposed a new method, WDL-RF, using weighted deep learning and random forest, to model the bioactivity of GPCR-associated ligand molecules. The pipeline of our algorithm consists of two consecutive stages: 1) molecular fingerprint generation through a new weighted deep learning method, and 2) bioactivity calculations with a random forest model; where one uniqueness of the approach is that the model allows end-to-end learning of prediction pipelines with input ligands being of arbitrary size. The method was tested on a set of twenty-six non-redundant GPCRs that have a high number of active ligands, each with 200~4000 ligand associations. The results from our benchmark show that WDL-RF can generate bioactivity predictions with an average root-mean square error 1.33 and correlation coefficient (r2) 0.80 compared to the experimental measurements, which are significantly more accurate than the control predictors with different molecular fingerprints and descriptors. In particular, data-driven molecular fingerprint features, as extracted from the weighted deep learning models, can help solve deficiencies stemming from the use of traditional hand-crafted features and significantly increase the efficiency of short molecular fingerprints in virtual screening.</AbstractText>: We proposed a new method, WDL-RF, using weighted deep learning and random forest, to model the bioactivity of GPCR-associated ligand molecules. The pipeline of our algorithm consists of two consecutive stages: 1) molecular fingerprint generation through a new weighted deep learning method, and 2) bioactivity calculations with a random forest model; where one uniqueness of the approach is that the model allows end-to-end learning of prediction pipelines with input ligands being of arbitrary size. The method was tested on a set of twenty-six non-redundant GPCRs that have a high number of active ligands, each with 200~4000 ligand associations. The results from our benchmark show that WDL-RF can generate bioactivity predictions with an average root-mean square error 1.33 and correlation coefficient (r2) 0.80 compared to the experimental measurements, which are significantly more accurate than the control predictors with different molecular fingerprints and descriptors. In particular, data-driven molecular fingerprint features, as extracted from the weighted deep learning models, can help solve deficiencies stemming from the use of traditional hand-crafted features and significantly increase the efficiency of short molecular fingerprints in virtual screening.The WDL-RF web server, as well as source codes and datasets of WDL-RF, is freely available at https://zhanglab.ccmb.med.umich.edu/WDL-RF/ for academic purposes.</AbstractText>: The WDL-RF web server, as well as source codes and datasets of WDL-RF, is freely available at https://zhanglab.ccmb.med.umich.edu/WDL-RF/ for academic purposes.Xiaoyan Ke (kexynj@hotmail.com); Yang Zhang (zhng@umich.edu).</AbstractText>: Xiaoyan Ke (kexynj@hotmail.com); Yang Zhang (zhng@umich.edu).Supplementary data are available at Bioinformatics online.</AbstractText>: Supplementary data are available at Bioinformatics online.","Bioinformatics (Oxford, England)",NA,NA
"25","29431919","Host-induced gene silencing of a regulator of G protein signaling gene (VdRGS1) confers resistance to Verticillium wilt in cotton.","Verticillium wilt (VW), caused by soil-borne fungi of the genus Verticillium, is a serious disease affecting a wide range of plants and leading to a constant and major challenge to agriculture worldwide. Cotton (Gossypium hirsutum) is the world's most important natural textile fiber and oil crop. VW of cotton is a highly devastating vascular disease, however, few resistant germplasms have been reported in cotton. An increasing number of studies have shown that RNA interference (RNAi) based host-induced gene silencing (HIGS) is an effective strategy for improving plant resistance to pathogens by silencing genes essential for the pathogenicity of these pathogens. Here, we have identified and characterized multifunctional regulators of G protein signaling (RGS) in the Verticillium dahliae virulence strain, Vd8. Of eight VdRGS genes, VdRGS1 showed the most significant increase in expression in V. dahliae after treating with the roots of cotton seedlings. Based on the phenotype detection of VdRGS1 deletion and complementation mutants, we found that VdRGS1 played crucial roles in spore production, hyphal development, microsclerotia formation, and pathogenicity. Tobacco rattle virus (TRV)-mediated HIGS in cotton plants silenced VdRGS1 transcripts in invaded V. dahliae strains, and enhanced broad spectrum resistance to cotton Verticillium wilt. Our data demonstrate that VdRGS1 is a conserved and essential gene for V. dahliae virulence. HIGS of VdRGS1 provide effective control against V. dahliae infection and could obtain the durable disease resistance in cotton, and in other Verticillium wilt-susceptible host crops by developing the stable transformants. This article is protected by copyright. All rights reserved.","Plant biotechnology journal",NA,NA
"26","29431874","Short chain fatty acids induce tissue plasminogen activator in airway epithelial cells via GPR41&amp;43.","BACKGROUND: Chronic rhinosinusitis (CRS) is a heterogeneous chronic inflammatory disease generally divided based on presence or absence of nasal polyps (NPs). One of the features of NPs is excessive fibrin deposition, which is associated with down regulation of tissue plasminogen activator (t-PA) in NPs. As t-PA is expressed in epithelial cells, and epithelium is readily accessible to topical therapies, identifying compounds that can mediate the induction of t-PA would be a potential new strategy for the treatment of NPs.OBJECTIVE: The objective of this study was to determine whether SCFAs can induce t-PA in airway epithelial cells via their known receptors GPR41 and GPR43.METHODS: We performed immunohistochemistry (IHC) to determine whether receptors for SCFAs, known as G protein coupled receptor 41/free fatty acid receptor 3 (GPR41/FFAR3) and GPR43/FFAR2, are expressed in nasal tissue. Primary normal human bronchial epithelial (NHBE) cells were stimulated with different concentrations of SCFAs to test induction of t-PA, which was analyzed by expression of mRNA and protein. Mediation of responses by SCFA receptors was evaluated by specific receptor gene silencing with siRNA.RESULTS: IHC study revealed that airway epithelial cells expressed GPR41 and GPR43. Acetic acid, propionic acid, butyric acid, and valeric acid significantly induced t-PA expression from 2-10 folds. The strongest inducer of t-PA from NHBE cells was propionic acid; cells stimulated with propionic acid released t-PA into the supernatant in its active form. Gene silencing of GPR41 and GPR43 revealed that induction of t-PA by SCFAs was dependent upon both GPR41 and GPR43.CONCLUSIONS &amp; CLINICAL RELEVANCE: SCFAs were shown to induce airway epithelial cell expression of t-PA via GPR41 and GPR43. Topical delivery of potent compounds that activate these receptors may have value by reducing fibrin deposition and shrinking nasal polyp growth. This article is protected by copyright. All rights reserved.","Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology",NA,NA
"27","29431471","Appetite Suppression and Altered Food Preferences Coincide with Changes in Appetite-Mediating Hormones During Energy Deficit at High Altitude, But Are Not Affected by Protein Intake.","Karl, J. Philip, Renee E. Cole, Claire E. Berryman, Graham Finlayson, Patrick N. Radcliffe, Matthew T. Kominsky, Nancy E. Murphy, John W. Carbone, Jennifer C. Rood, Andrew J. Young, and Stefan M. Pasiakos. Appetite Suppression and Altered Food Preferences Coincide with Changes in Appetite-Mediating Hormones During Energy Deficit at High Altitude, But Are Not Affected by Protein Intake. High Alt Med Biol. 00:000-000, 2018.-Anorexia and unintentional body weight loss are common during high altitude (HA) sojourn, but underlying mechanisms are not fully characterized, and the impact of dietary macronutrient composition on appetite regulation at HA is unknown. This study aimed to determine the effects of a hypocaloric higher protein diet on perceived appetite and food preferences during HA sojourn and to examine longitudinal changes in perceived appetite, appetite mediating hormones, and food preferences during acclimatization and weight loss at HA. Following a 21-day level (SL) period, 17 unacclimatized males ascended to and resided at HA (4300<U+2009>m) for 22 days. At HA, participants were randomized to consume measured standard-protein (1.0<U+2009>g protein/kg/d) or higher protein (2.0<U+2009>g/kg/d) hypocaloric diets (45% carbohydrate, 30% energy restriction) and engaged in prescribed physical activity to induce an estimated 40% energy deficit. Appetite, food preferences, and appetite-mediating hormones were measured at SL and at the beginning and end of HA. Diet composition had no effect on any outcome. Relative to SL, appetite was lower during acute HA (days 0 and 1), but not different after acclimatization and weight loss (HA day 18), and food preferences indicated an increased preference for sweet- and low-protein foods during acute HA, but for high-fat foods after acclimatization and weight loss. Insulin, leptin, and cholecystokinin concentrations were elevated during acute HA, but not after acclimatization and weight loss, whereas acylated ghrelin concentrations were suppressed throughout HA. Findings suggest that appetite suppression and altered food preferences coincide with changes in appetite-mediating hormones during energy deficit at HA. Although dietary protein intake did not impact appetite, the possible incongruence with food preferences at HA warrants consideration when developing nutritional strategies for HA sojourn.","High altitude medicine &amp; biology",NA,NA
"28","29431207","Role of mast cells and basophils in pruritus.","To protect our body systems, there is a constant interactive conversation between the skin nervous and immune system. Important elements of this conversation in the skin include mast cells, basophils, and sensory nerve fibers. These cells employ a vast array of sensors that detect danger and react accordingly. This reaction, summarized as neurogenic inflammation, manifests at the conscious level as sensations including pain and itch. Here we provide a perspective on the blossoming knowledge that is illuminating connections between mast cells, basophils, and sensory nerve fibers in the mediation of itch. We discuss established mediators and receptors, in particular cytokine and neuropeptide pathways, upstream proteases, and proteinase-activated receptors, and the emerging role of mas-related G-protein-coupled receptors in itch.","Immunological reviews","282","1"
"29","29431203","Changing the threshold-Signals and mechanisms of mast cell priming.","","Immunological reviews","282","1"
"30","29430083","Autotaxin-Lysophosphatidic Acid: From Inflammation to Cancer Development.","","Mediators of inflammation","2017",NA
"31","29429152","Mass Spectrometry-Based Screening Platform Reveals Orco Interactome in Drosophila melanogaster.","Animals use their odorant receptors to receive chemical information from the environment. Insect odorant receptors differ from the G protein-coupled odorant receptors in vertebrates and nematodes, and very little is known about their protein-protein interactions. Here, we introduce a mass spectrometric platform designed for the large-scale analysis of insect odorant receptor protein-protein interactions. Using this platform, we obtained the first Orco interactome from Drosophila melanogaster. From a total of 1,186 identified proteins, we narrowed the interaction candidates to 226, of which only two-thirds have been named. These candidates include the known olfactory proteins Or92a and Obp51a. Around 90% of the proteins having published names likely function inside the cell, and nearly half of these intracellular proteins are associated with the endomembrane system. In a basic loss-of-function electrophysiological screen, we found that the disruption of eight (i.e., Rab5, CG32795, Mpcp, Tom70, vir-1, CG30427, Eaat1, and CG2781) of 28 randomly selected candidates affects olfactory responses in vivo. Thus, because this Orco interactome includes physiologically meaningful candidates, we anticipate that our platform will help guide further research on the molecular mechanisms of the insect odorant receptor family.","Molecules and cells",NA,NA
"32","29429148","Fasiglifam (TAK-875), a G Protein-Coupled Receptor 40 (GPR40) Agonist, May Induce Hepatotoxicity Through Reactive Oxygen Species Generation in a GPR40-Dependent Manner.","Fasiglifam (TAK-875) a G-protein coupled receptor 40 (GPR40) agonist, significantly improves hyperglycemia without hypoglycemia and weight gain, the major side effects of conventional anti-diabetics. Unfortunately, during multi-center Phase 3 clinical trials, unexpected liver toxicity resulted in premature termination of its development. Here, we investigated whether TAK-875 directly inflicts toxicity on hepatocytes and explored its underlying mechanism of toxicity. TAK-875 decreased viability of 2D and 3D cultures of HepG2, a human hepatocarcinoma cell line, in concentration- (&gt;50 µM) and time-dependent manners, both of which corresponded with ROS generation. An antioxidant, N-acetylcysteine, attenuated TAK-875-mediated hepatotoxicity, which confirmed the role of ROS generation. Of note, knockdown of GPR40 using siRNA abolished the hepatotoxicity of TAK-875 and attenuated ROS generation. In contrast, TAK-875 induced no cytotoxicity in fibroblasts up to 500 µM. Supporting the hepatotoxic potential of TAK-875, exposure to TAK-875 resulted in increased mortality of zebrafish larvae at 25 µM. Histopathological examination of zebrafish exposed to TAK-875 revealed severe hepatotoxicity as manifested by degenerated hypertrophic hepatocytes with cytoplasmic vacuolation and acentric nuclei, confirming that TAK-875 may induce direct hepatotoxicity and that ROS generation may be involved in a GPR40-dependent manner.","Biomolecules &amp; therapeutics",NA,NA
"33","29428175","Beyond the Channel: Metabotropic Signaling by Nicotinic Receptors.","","Trends in pharmacological sciences",NA,NA
