"","PubmedID","Title","Abstract","Journal","Volume","Issue"
"12","29439185","Extracellular vesicles in the hematopoietic microenvironment.","Self-renewal and differentiation are defining characteristics of hematopoietic stem and progenitor cells, and their balanced regulation is central to lifelong function of both blood and immune systems. In addition to cell intrinsic programs, hematopoietic stem and progenitor cells fate decisions are subject to extrinsic cues from within the bone marrow microenvironment and systemically. Yet, many of the paracrine and endocrine mediators that shape hematopoietic function remain to be discovered. Extracellular vesicles serve as evolutionarily conserved, constitutive regulators of cell and tissue homeostasis, with several recent reports supporting a role for extracellular vesicles in the regulation of hematopoiesis. We review the physiological and pathophysiological effects that extracellular vesicles have on bone marrow compartmental function while highlighting progress in understanding vesicle biogenesis, cargo incorporation, differential uptake and downstream effects of vesicle internalization. This review further touches on the role of extracellular vesicles in hematopoietic stem and progenitor cells fate regulation and recent advances in therapeutic and diagnostic applications of extracellular vesicles in hematological disorders.","Haematologica",NA,NA
"13","29439180","Secondary Neoplasms of the Female Lower Genital Tract After Hematopoietic Cell Transplantation.","Hematopoietic cell transplantation (HCT) results in long-term survival (=10 years) in 85% of patients who survive transplant-related complications within the first 2 years posttransplant. Transplant survivors, however, are at an increased risk of chronic health conditions compared with the general population, including the emergence of secondary malignant neoplasms. In particular, female transplant survivors may face a greater risk of lower genital tract (cervical, vulvar, or vaginal) neoplasms due to chronic immune dysregulation in the peritransplant and posttransplant environment. Persistent immune suppression may facilitate the carcinogenesis of human papillomavirus (HPV), the causative agent of nearly all cervical cancers and most vulvar and vaginal cancers. Nevertheless, the risk of these cancers has not been sufficiently quantified in female transplant survivors. Small clinical studies have shown that the rate of cervical cytological abnormalities increases after allogeneic HCT, but large population-based studies have not consistently demonstrated an increased risk of secondary cervical cancer after transplant compared with the general population; the risk of developing secondary vulvar or vaginal cancer after transplant remains unclear. A better understanding of the natural history of HPV-associated lower genital tract neoplasms and their transplant-related risk factors would help delineate optimal long-term follow-up protocols in this population. In this systematic review, we summarize the current literature on this topic and discuss the implications for cervical cancer screening and vaccination in female transplant recipients.","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"14","29439179","Evolving Roles of Histologic Evaluation and Molecular/Genomic Profiling in the Management of Endometrial Cancer.","","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"15","29439178","Uterine Neoplasms, Version 1.2018, NCCN Clinical Practice Guidelines in Oncology.","Endometrial carcinoma is a malignant epithelial tumor that forms in the inner lining, or endometrium, of the uterus. Endometrial carcinoma is the most common gynecologic malignancy. Approximately two-thirds of endometrial carcinoma cases are diagnosed with disease confined to the uterus. The complete NCCN Guidelines for Uterine Neoplasms provide recommendations for the diagnosis, evaluation, and treatment of endometrial cancer and uterine sarcoma. This manuscript discusses guiding principles for the diagnosis, staging, and treatment of early-stage endometrial carcinoma as well as evidence for these recommendations.","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"16","29439177","Real-World Impact of a Decision Support Tool on Colony-Stimulating Factor Use and Chemotherapy-Induced Febrile Neutropenia Among Patients With Breast Cancer.","","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"17","29439176","Skeletal Muscle Quality Beyond Average Muscle Attenuation: A Proposal of Skeletal Muscle Phenotypes to Predict Short-Term Survival in Patients With Endometrial Cancer.","","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"18","29439175","The AJCC 8th Edition Staging System for Soft Tissue Sarcoma of the Extremities or Trunk: A Cohort Study of the SEER Database.","","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"19","29439174","Description of Venous Thromboembolism in Hospitalized Patients With Metastatic Cancer: A National Sample.","","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"20","29439173","NCCN Guidelines Insights: T-Cell Lymphomas, Version 2.2018.","Natural killer (NK)/T-cell lymphomas are a rare and distinct subtype of non-Hodgkin's lymphomas. NK/T-cell lymphomas are predominantly extranodal and most of these are nasal type, often localized to the upper aerodigestive tract. Because extranodal NK/T-cell lymphomas (ENKL) are rare malignancies, randomized trials comparing different regimens have not been conducted to date and standard therapy has not yet been established for these patients. These NCCN Guidelines Insights discuss the recommendations for the diagnosis and management of patients with ENKL as outlined in the NCCN Guidelines for T-Cell Lymphomas.","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"21","29439172",NA,"","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"22","29439171","Letter to the Editor: Chicken Noodle Soup (Capsule) for the Soul?","","Journal of the National Comprehensive Cancer Network : JNCCN","16","2"
"23","29439162","Incidence and disease burden of chemotherapy-induced peripheral neuropathy in a population-based cohort.","OBJECTIVE: To assess disease burden of chemotherapy-induced peripheral neuropathy (CIPN), which is a common dose-limiting side effect of neurotoxic chemotherapy. Late effects of CIPN may increase with improved cancer survival.METHODS: Olmsted County, Minnesota residents receiving neurotoxic chemotherapy were identified and CIPN was ascertained via text searches of polyneuropathy symptoms in the medical record. Clinical records were queried to collect data on baseline characteristics, risk factors, signs and symptoms of CIPN, medications, impairments and International Classification of Diseases, Ninth Revision (ICD-9) diagnostic codes for all subjects.RESULTS: A total of 509 individuals with incident exposure to an inclusive list of neurotoxic chemotherapy agents between 2006 and 2008 were identified. 268 (52.7%) of these individuals were determined to have CIPN. The median time from incident exposure to first documented symptoms was 71 days. Patients with CIPN received a neuropathy ICD-9 diagnosis in only 37 instances (13.8%). Pain symptoms and use of pain medications were observed more often in patients with CIPN. Five-year survival was greater in those with CIPN (55.2%) versus those without (36.1%). Those with CIPN surviving greater than 5 years (n=145) continued to have substantial impairments and were more likely to be prescribed opioids than those without CIPN (OR 2.0, 1.06-3.69).CONCLUSIONS: Results from our population-based study are consistent with previous reports of high incidence of CIPN in the first 2<U+2009>years following incident exposure to neurotoxic chemotherapeutic agents, and its association with significant pain symptomatology and accompanied long-term opioid use. Increased survival following exposure to neurotoxic chemotherapy and its long-term disease burden necessitates further study among survivors.","Journal of neurology, neurosurgery, and psychiatry",NA,NA
"24","29439154","Tumorigenic Colonic Bacteria May Promote Early Neoplasia.","Colonic biofilms may accelerate tumorigenesis in patients with familial adenomatous polyposis (FAP).","Cancer discovery",NA,NA
"25","29439153",NA,"The AR inhibitor enzalutamide achieved responses in patients with advanced TNBC in a phase II trial.","Cancer discovery",NA,NA
"26","29439152","SLFN11 Blocks DNA Replication Independently of ATR Activity.","SLFN11 inhibits replication in response to DNA damage or cell cycle checkpoint inhibition.","Cancer discovery",NA,NA
"27","29439151",NA,"Excess MYCN binds noncanonical enhancers as well as promoters to drive tumor-specific gene expression.","Cancer discovery",NA,NA
"28","29439150","Myelodysplastic Syndrome Splicing Factor Mutations Induce R-Loops.","","Cancer discovery",NA,NA
"29","29439143",NA,"","Bioscience reports",NA,NA
"30","29439135","Mapping human development at single-cell resolution.","Human development is regulated by spatiotemporally restricted molecular programmes and is pertinent to many areas of basic biology and human medicine, such as stem cell biology, reproductive medicine and childhood cancer. Mapping human development has presented significant technological, logistical and ethical challenges. The availability of established human developmental biorepositories and the advent of cutting-edge single-cell technologies provide new opportunities to study human development. Here, we present a working framework for the establishment of a human developmental cell atlas exploiting single-cell genomics and spatial analysis. We discuss how the development atlas will benefit the scientific and clinical communities to advance our understanding of basic biology, health and disease.","Development (Cambridge, England)","145","3"
"31","29439113","Double somatic mutations in mismatch repair genes are frequent in colorectal cancer after Hodgkin's lymphoma treatment.","OBJECTIVE: Hodgkin's lymphoma survivors who were treated with infradiaphragmatic radiotherapy or procarbazine-containing chemotherapy have a fivefold increased risk of developing colorectal cancer (CRC). This study aims to provide insight into the development of therapy-related CRC (t-CRC) by evaluating histopathological and molecular characteristics.CONCLUSIONS: We have demonstrated a higher frequency of MSI among t-CRCs, which results from somatic MMR gene mutations. This suggests a novel association of somatic MMR gene mutations with prior anticancer treatment.","Gut","67","3"
"32","29439109","Toward Value in Health Care: Perspectives, Priorities, and Policy.","The goal of value-based care is simple: deliver care that improves the health of patients at the lowest possible cost. In recent years, concerns about health care value have led to the emergence of multiple value-based frameworks for decision-making. This commentary describes how the concept of value is defined for different stakeholders, discusses the impact of the value-based movement, and offers perspective on future directions for prioritization and policymaking.","North Carolina medical journal","79","1"
"33","29439103","Ask Early and Ask Often: How Discussing Costs Could Save Your Patient's Life.","Out-of-pocket spending continues to increase, particularly in cancer care. High out-of-pocket expenditures are associated with increased psychosocial distress, lower adherence, and higher mortality. In order to improve cancer-related outcomes, we must come up with interventions directed at reducing cancer-related financial toxicity. In this article, we highlight the most promising interventions.","North Carolina medical journal","79","1"
"34","29439100","Cultivating New Directions: The Changing Role of Tobacco in North Carolina's Economy.","Citing potential economic harm to the state, the tobacco industry has a history of opposing tobacco control efforts in North Carolina. This commentary discusses the changing role of tobacco in North Carolina's economy, argues that tobacco control causes little economic harm to the state, and explores development of alternative industries.","North Carolina medical journal","79","1"
"35","29439082","Association of common comorbidities with osteonecrosis: a nationwide population-based case-control study in Denmark.","OBJECTIVE: To examine recent time trends in the incidence of osteonecrosis (ON) in Denmark and to investigate different common comorbidities association with ON in a population-based setting.METHODS: Using Danish medical databases, we included all patients with a first-time hospital diagnosis of ON during 1995-2012. Each ON case was matched with 10 randomly selected population control subjects from general population. For all participants, we obtained a complete hospital history of comorbidities included in the CharlsonComorbidity Index 5 years preceding the inclusion date.RESULTS: 4107 ON cases and 41<U+2009>063 controls were included. The incidence of ON increased from 3.9 in 1995 to 5.5 in 2012 per 100<U+2009>000 inhabitants. Solid cancer was the most common comorbidity, associated with an adjusted OR (aOR) for ON of 2.0 (95% CI 1.7 to 2.2). For advanced metastatic cancer, leukaemia and lymphoma, aORs of ON were 3.4 (95% CI 2.5 to 4.5), 4.3 (95% CI 2.7 to 7.0) and 5.8 (95% CI 4.3 to 7.8), respectively. Among other chronic conditions, aORs were 3.5 (95% CI 3.0 to 4.1) for connective tissue diseases and 2.3 (95% CI 2.0 to 2.7) for chronic pulmonary diseases. aORs were also increased at 2.8 (95% CI 1.9 to 4.1) and 4.5 (95% CI 2.5 to 8.2) for mild and moderate-to-severe liver disease, respectively, and 4.2 (95% CI 3.4 to 5.2) for renal disease.CONCLUSION: This large population-based study provides evidence for an increasing ON incidence in the general population and documents an association between several common comorbid conditions and risk of ON.","BMJ open","8","2"
"36","29439081","Long-term trends of liver cancer mortality by gender in urban and rural areas in China: an age-period-cohort analysis.","OBJECTIVES: To provide an up-to-date overview of long-term trends of liver cancer mortality and evaluate the effects attributable to age, period and cohort in Chinese population stratified by gender and urban/rural areas.METHODS: Population and liver cancer mortality data were obtained based on the Disease Surveillance Points in China from 1991 to 2014. To examine the time trends of liver cancer mortality by gender in urban and rural areas in China, Joinpoint analysis was used to estimate the annual per cent change. The intrinsic estimator, a method of age-period-cohort analysis to estimate age, period and cohort effects simultaneously, was used to analyse the underlying mechanisms for liver cancer mortality trends in the aforementioned four groups.RESULTS: We observed a significant decline in liver cancer mortality for urban men (average annual per cent change (AAPC)=-1.1%, P&lt;0.05) and urban women (AAPC=-1.4%, P&lt;0.05), while the liver cancer mortality remained stable for rural men (AAPC=-0.1%, P&gt;0.05) and rural women (AAPC=-0.9%, P&gt;0.05). Compared with the 15-19 age group, the liver cancer mortality risk of the 85 and above age group increased 65 and 42 times for urban and rural men, and 102 and 70 times for urban and rural women. From the 1990-1994 period to the 2005-2009 period, the risk increased 56% and 92% for urban and rural men, and 30% and 74% for urban and rural women. Compared with period and cohort effects, age effects were the most influential factor in liver cancer mortality.CONCLUSIONS: As the status of ageing population in China gets worse, the burden caused by liver cancer mortality could still be a great challenge for China in the future. The disparity of liver cancer mortality trends between urban and rural residents can be attributed to period effects, referring to the unequal medical levels and resources between urban and rural areas.","BMJ open","8","2"
"37","29439079","Primary outcome switching among drug trials with and without principal investigator financial ties to industry: a cross-sectional study.","OBJECTIVES: To determine the relationship between manufacturer-related financial ties among investigators of published drug trials and rates of discrepant registered and published primary trial outcomes.DESIGN: Cross-sectional study.SETTING: Human subjects drug trials published in 'core clinical' MEDLINE journals in 2013.PRIMARY AND SECONDARY OUTCOME MEASURES: The primary study endpoint was the presence of a prospectively registered, clearly defined primary outcome that matched the published primary outcome for each included trial. Secondary outcomes included assessments of registration timing and quality, and the impact of outcome discrepancies between registration and publication on the statistical significance of the included trials.RESULTS: Of 192 included trials, 134 (70%) were positive and 58 (30%) were negative. Financial ties were present between first or last authors and drug manufacturers for 130 trials (68%), of which 78% were positive, versus 53% of trials with no financial ties that were positive. Clearly defined, prospectively registered outcomes that matched the published outcomes were present in just 76 of the 192 trials (40%). After adjusting for study start date and sample size, the observed relationship between investigator financial ties and the presence of a match between prospectively registered and published primary outcomes was of borderline statistical significance (OR 2.12, 95%<U+2009>CI 0.998 to 4.50). Studies with financial ties present were more likely than studies without ties to have been prospectively registered (78%vs48%, P&lt;0.001) and were more likely to have prospectively registered a clearly defined primary outcome(62%vs35%, P&lt;0.001).CONCLUSIONS: Less than half of the trials in this cohort were prospectively registered with a clear primary outcome that was consistent with the primary outcome reported in the published manuscript. The presence of investigator financial ties was associated with higher quality registration practices, though this association diminished after adjusting for factors that impact registration quality.","BMJ open","8","2"
"38","29439068","Does high-carbohydrate intake lead to increased risk of obesity? A systematic review and meta-analysis.","The present study aimed to test the association between high and low carbohydrate diets and obesity, and second, to test the link between total carbohydrate intake (as a percentage of total energy intake) and obesity.</AbstractText>: The present study aimed to test the association between high and low carbohydrate diets and obesity, and second, to test the link between total carbohydrate intake (as a percentage of total energy intake) and obesity.We sought MEDLINE, PubMed and Google Scholar for observation studies published between January 1990 and December 2016 assessing an association between obesity and high-carbohydrate intake. Two independent reviewers selected candidate studies, extracted data and assessed study quality.</AbstractText>: We sought MEDLINE, PubMed and Google Scholar for observation studies published between January 1990 and December 2016 assessing an association between obesity and high-carbohydrate intake. Two independent reviewers selected candidate studies, extracted data and assessed study quality.The study identified 22 articles that fulfilled the inclusion and exclusion criteria and quantified an association between carbohydrate intake and obesity. The first pooled strata (high-carbohydrate versus low-carbohydrate intake) suggested a weak increased risk of obesity. The second pooled strata (increasing percentage of total carbohydrate intake in daily diet) showed a weak decreased risk of obesity. Both these pooled strata estimates were, however, not statistically significant.</AbstractText>: The study identified 22 articles that fulfilled the inclusion and exclusion criteria and quantified an association between carbohydrate intake and obesity. The first pooled strata (high-carbohydrate versus low-carbohydrate intake) suggested a weak increased risk of obesity. The second pooled strata (increasing percentage of total carbohydrate intake in daily diet) showed a weak decreased risk of obesity. Both these pooled strata estimates were, however, not statistically significant.On the basis of the current study, it cannot be concluded that a high-carbohydrate diet or increased percentage of total energy intake in the form of carbohydrates increases the odds of obesity. A central limitation of the study was the non-standard classification of dietary intake across the studies, as well as confounders like total energy intake, activity levels, age and gender. Further studies are needed that specifically classify refined versus unrefined carbohydrate intake, as well as studies that investigate the relationship between high fat, high unrefined carbohydrate-sugar diets.</AbstractText>: On the basis of the current study, it cannot be concluded that a high-carbohydrate diet or increased percentage of total energy intake in the form of carbohydrates increases the odds of obesity. A central limitation of the study was the non-standard classification of dietary intake across the studies, as well as confounders like total energy intake, activity levels, age and gender. Further studies are needed that specifically classify refined versus unrefined carbohydrate intake, as well as studies that investigate the relationship between high fat, high unrefined carbohydrate-sugar diets.CRD42015023257.</AbstractText>: CRD42015023257.","BMJ open","8","2"
"39","29439059","Noninvasive follicular thyroid neoplasm with papillary-like nuclear features.","The 2017 edition of the WHO book on Classification of Tumours of Endocrine Organs includes a new section entitled &quot;Other encapsulated follicular-patterned thyroid tumours&quot;, in which the newly created NIFTP (Non-invasive follicular thyroid neoplasm with papillary-like nuclear features) is identified and detailed described. Despite deleting the word &quot;carcinoma&quot; from its name, NIFTP is not a benign tumor either, and is best regarded as a neoplasm with &quot;very low malignant potential&quot;. The main goal of the introduction of NIFTP category is to prevent overdiagnosis and overtreatment. Sampling constraints, especially when dealing with heterogeneous and/or large nodules, and difficulties in the invasiveness evaluation, are the major weaknesses of the histological characterization of NIFTP. At the cytological level, NIFTP can be separated from classic papillary carcinoma (cPTC) but not from encapsulated, invasive follicular variant PTC. The impact of NIFTP individualization for Cytopathology is the drop of rates of malignancy for each Bethesda category in general, and for indeterminate categories in particular. The biggest impact will be seen in institutions with a high frequency of FVPTC. The introduction of NIFTP has changed the utility of predictive values of molecular tests because RAS mutations and PAX8- PPARg rearrangements are frequently detected in NIFTP. This turns less promising the application of mutation detection panels as indicators of malignancy and will probably contribute to switch to a rule-out approach of molecular testing. Selection for surgery will go on being determined by a combined detection of clinical, cytological and ultrasound suspicious features.","Endocrine-related cancer",NA,NA
